E              f1 
   keV           e atom-1
1.818539E+02  8.5725E-02
1.944018E+02  7.5450E-02
2.078156E+02  6.6408E-02
2.221548E+02  5.8453E-02
2.374835E+02  5.1453E-02
2.538699E+02  4.5293E-02
2.713869E+02  3.9872E-02
2.901126E+02  3.5101E-02
3.101304E+02  3.0902E-02
3.315294E+02  2.7206E-02
3.544049E+02  2.3953E-02
3.788588E+02  2.1090E-02
4.050001E+02  1.8570E-02
4.329451E+02  1.6351E-02
