E              f2 
   keV           e atom-1
7.9508534E-01  2.4379E+01
7.9906077E-01  2.4300E+01
8.0305607E-01  2.4221E+01
8.0707135E-01  2.4141E+01
8.1110671E-01  2.4063E+01
8.1516224E-01  2.3984E+01
8.1923806E-01  2.3905E+01
8.2333425E-01  2.3826E+01
8.2745092E-01  2.3747E+01
8.3158817E-01  2.3668E+01
8.3574611E-01  2.3590E+01
8.3992484E-01  2.3511E+01
8.4412447E-01  2.3433E+01
8.4834509E-01  2.3354E+01
8.5258682E-01  2.3276E+01
8.5684975E-01  2.3197E+01
8.6113400E-01  2.3119E+01
8.6543967E-01  2.3041E+01
8.6976687E-01  2.2963E+01
8.7411570E-01  2.2884E+01
8.7848628E-01  2.2806E+01
8.8287871E-01  2.2728E+01
8.8729310E-01  2.2651E+01
8.9172957E-01  2.2573E+01
8.9618822E-01  2.2495E+01
9.0066916E-01  2.2417E+01
9.0517250E-01  2.2340E+01
9.0969837E-01  2.2262E+01
9.1424686E-01  2.2185E+01
9.1881809E-01  2.2108E+01
9.2341218E-01  2.2031E+01
9.2802924E-01  2.1953E+01
9.3266939E-01  2.1875E+01
9.3733274E-01  2.1797E+01
9.4201940E-01  2.1720E+01
9.4672950E-01  2.1643E+01
9.5146315E-01  2.1565E+01
9.5622046E-01  2.1488E+01
9.6100156E-01  2.1411E+01
9.6580657E-01  2.1334E+01
9.7063560E-01  2.1257E+01
9.7548878E-01  2.1181E+01
9.8036623E-01  2.1104E+01
9.8526806E-01  2.1028E+01
9.9019440E-01  2.0952E+01
9.9514537E-01  2.0876E+01
1.0001211E+00  2.0799E+01
1.0051217E+00  2.0696E+01
1.0101473E+00  2.0593E+01
1.0151980E+00  2.0490E+01
1.0202740E+00  2.0388E+01
1.0253754E+00  2.0286E+01
1.0305023E+00  2.0185E+01
1.0356548E+00  2.0084E+01
1.0408331E+00  1.9984E+01
1.0460372E+00  1.9884E+01
1.0512674E+00  1.9785E+01
1.0565238E+00  1.9686E+01
1.0618064E+00  1.9587E+01
1.0671154E+00  1.9490E+01
1.0724510E+00  1.9392E+01
1.0778132E+00  1.9296E+01
1.0832023E+00  1.9199E+01
1.0886183E+00  1.9103E+01
1.0940614E+00  1.9007E+01
1.0995317E+00  1.8911E+01
1.1050294E+00  1.8816E+01
1.1105545E+00  1.8721E+01
1.1161073E+00  1.8627E+01
1.1216878E+00  1.8533E+01
1.1272963E+00  1.8440E+01
1.1329328E+00  1.8347E+01
1.1385974E+00  1.8255E+01
1.1442904E+00  1.8163E+01
1.1500119E+00  1.8071E+01
1.1557619E+00  1.7981E+01
1.1615407E+00  1.7890E+01
1.1673484E+00  1.7800E+01
1.1731852E+00  1.7711E+01
1.1790511E+00  1.7622E+01
1.1849464E+00  1.7533E+01
1.1908711E+00  1.7446E+01
1.1968254E+00  1.7358E+01
1.2028096E+00  1.7271E+01
1.2088236E+00  1.7185E+01
1.2148677E+00  1.7099E+01
1.2209421E+00  1.7013E+01
1.2270468E+00  1.6928E+01
1.2331820E+00  1.6844E+01
1.2393479E+00  1.6759E+01
1.2455447E+00  1.6676E+01
1.2517724E+00  1.6593E+01
1.2580312E+00  1.6510E+01
1.2643214E+00  1.6428E+01
1.2706430E+00  1.6347E+01
1.2769962E+00  1.6265E+01
1.2833812E+00  1.6185E+01
1.2897981E+00  1.6104E+01
1.2962471E+00  1.6024E+01
1.3027283E+00  1.5944E+01
1.3092420E+00  1.5865E+01
1.3157882E+00  1.5786E+01
1.3223671E+00  1.5707E+01
1.3289790E+00  1.5629E+01
1.3356239E+00  1.5552E+01
1.3423020E+00  1.5466E+01
1.3490135E+00  1.5381E+01
1.3557586E+00  1.5296E+01
1.3625374E+00  1.5212E+01
1.3693500E+00  1.5128E+01
1.3761968E+00  1.5045E+01
1.3830778E+00  1.4963E+01
1.3899932E+00  1.4881E+01
1.3969431E+00  1.4799E+01
1.4039278E+00  1.4719E+01
1.4109475E+00  1.4636E+01
1.4180022E+00  1.4551E+01
1.4250922E+00  1.4466E+01
1.4322177E+00  1.4382E+01
1.4393788E+00  1.4298E+01
1.4465757E+00  1.4215E+01
1.4538086E+00  1.4133E+01
1.4610776E+00  1.4051E+01
1.4683830E+00  1.3970E+01
1.4757249E+00  1.3889E+01
1.4831035E+00  1.3809E+01
1.4905190E+00  1.3730E+01
1.4979716E+00  1.3651E+01
1.5054615E+00  1.3573E+01
1.5129888E+00  1.3495E+01
1.5205537E+00  1.3418E+01
1.5281565E+00  1.3341E+01
1.5357973E+00  1.3265E+01
1.5434763E+00  1.3189E+01
1.5511937E+00  1.3114E+01
1.5589496E+00  1.3037E+01
1.5667444E+00  1.2957E+01
1.5745781E+00  1.2878E+01
1.5824510E+00  1.2800E+01
1.5903633E+00  1.2722E+01
1.5983151E+00  1.2645E+01
1.6063066E+00  1.2569E+01
1.6143382E+00  1.2493E+01
1.6224099E+00  1.2418E+01
1.6305219E+00  1.2340E+01
1.6386745E+00  1.2262E+01
1.6468679E+00  1.2184E+01
1.6551022E+00  1.2108E+01
1.6633777E+00  1.2032E+01
1.6716946E+00  1.1957E+01
1.6800531E+00  1.1882E+01
1.6884534E+00  1.1808E+01
1.6968956E+00  1.1735E+01
1.7053801E+00  1.1662E+01
1.7139070E+00  1.1590E+01
1.7224766E+00  1.1518E+01
1.7310889E+00  1.1447E+01
1.7397444E+00  1.1377E+01
1.7484431E+00  1.1307E+01
1.7571853E+00  1.1238E+01
1.7659712E+00  1.1170E+01
1.7748011E+00  1.1102E+01
1.7836751E+00  1.1035E+01
1.7925935E+00  1.0968E+01
1.8015565E+00  1.0902E+01
1.8105642E+00  1.0836E+01
1.8196171E+00  1.0771E+01
1.8287151E+00  1.0706E+01
1.8378587E+00  1.0642E+01
1.8470480E+00  1.0579E+01
1.8562833E+00  1.0516E+01
1.8655647E+00  1.0453E+01
1.8748925E+00  1.0391E+01
1.8842670E+00  1.0330E+01
1.8936883E+00  1.0269E+01
1.9031567E+00  1.0209E+01
1.9126725E+00  1.0149E+01
1.9222359E+00  1.0089E+01
1.9318471E+00  1.0030E+01
