  E              f1 
   keV           e atom-1
7.7550292E-01  2.3279E+01
7.7938044E-01  2.3207E+01
7.8327734E-01  2.3135E+01
7.8719373E-01  2.3063E+01
7.9112969E-01  2.2991E+01
7.9508534E-01  2.2919E+01
7.9906077E-01  2.2847E+01
8.0305607E-01  2.2775E+01
8.0707135E-01  2.2703E+01
8.1110671E-01  2.2631E+01
8.1516224E-01  2.2559E+01
8.1923806E-01  2.2487E+01
8.2333425E-01  2.2415E+01
8.2745092E-01  2.2343E+01
8.3158817E-01  2.2271E+01
8.3574611E-01  2.2199E+01
8.3992484E-01  2.2128E+01
8.4412447E-01  2.2056E+01
8.4834509E-01  2.1984E+01
8.5258682E-01  2.1912E+01
8.5684975E-01  2.1840E+01
8.6113400E-01  2.1769E+01
8.6543967E-01  2.1697E+01
8.6976687E-01  2.1625E+01
8.7411570E-01  2.1554E+01
8.7848628E-01  2.1482E+01
8.8287871E-01  2.1409E+01
8.8729310E-01  2.1337E+01
8.9172957E-01  2.1265E+01
8.9618822E-01  2.1192E+01
9.0066916E-01  2.1120E+01
9.0517250E-01  2.1048E+01
9.0969837E-01  2.0976E+01
9.1424686E-01  2.0904E+01
9.1881809E-01  2.0832E+01
9.2341218E-01  2.0760E+01
9.2802924E-01  2.0688E+01
9.3266939E-01  2.0616E+01
9.3733274E-01  2.0544E+01
9.4201940E-01  2.0472E+01
9.4672950E-01  2.0401E+01
9.5146315E-01  2.0329E+01
9.5622046E-01  2.0258E+01
9.6100156E-01  2.0186E+01
9.6580657E-01  2.0115E+01
9.7063560E-01  2.0044E+01
9.7548878E-01  1.9973E+01
9.8036623E-01  1.9901E+01
9.8526806E-01  1.9830E+01
9.9019440E-01  1.9760E+01
9.9514537E-01  1.9689E+01
1.0001211E+00  1.9617E+01
1.0051217E+00  1.9523E+01
1.0101473E+00  1.9429E+01
1.0151980E+00  1.9335E+01
1.0202740E+00  1.9242E+01
1.0253754E+00  1.9149E+01
1.0305023E+00  1.9056E+01
1.0356548E+00  1.8963E+01
1.0408331E+00  1.8871E+01
1.0460372E+00  1.8779E+01
1.0512674E+00  1.8687E+01
1.0565238E+00  1.8596E+01
1.0618064E+00  1.8505E+01
1.0671154E+00  1.8414E+01
1.0724510E+00  1.8324E+01
1.0778132E+00  1.8234E+01
1.0832023E+00  1.8145E+01
1.0886183E+00  1.8056E+01
1.0940614E+00  1.7968E+01
1.0995317E+00  1.7880E+01
1.1050294E+00  1.7792E+01
1.1105545E+00  1.7705E+01
1.1161073E+00  1.7619E+01
1.1216878E+00  1.7532E+01
1.1272963E+00  1.7447E+01
1.1329328E+00  1.7361E+01
1.1385974E+00  1.7276E+01
1.1442904E+00  1.7192E+01
1.1500119E+00  1.7108E+01
1.1557619E+00  1.7024E+01
1.1615407E+00  1.6941E+01
1.1673484E+00  1.6858E+01
1.1731852E+00  1.6776E+01
1.1790511E+00  1.6694E+01
1.1849464E+00  1.6613E+01
1.1908711E+00  1.6532E+01
1.1968254E+00  1.6451E+01
1.2028096E+00  1.6371E+01
1.2088236E+00  1.6292E+01
1.2148677E+00  1.6213E+01
1.2209421E+00  1.6134E+01
1.2270468E+00  1.6055E+01
1.2331820E+00  1.5976E+01
1.2393479E+00  1.5898E+01
1.2455447E+00  1.5821E+01
1.2517724E+00  1.5744E+01
1.2580312E+00  1.5660E+01
1.2643214E+00  1.5574E+01
1.2706430E+00  1.5489E+01
1.2769962E+00  1.5405E+01
1.2833812E+00  1.5321E+01
1.2897981E+00  1.5238E+01
1.2962471E+00  1.5155E+01
1.3027283E+00  1.5073E+01
1.3092420E+00  1.4992E+01
1.3157882E+00  1.4910E+01
1.3223671E+00  1.4830E+01
1.3289790E+00  1.4745E+01
1.3356239E+00  1.4659E+01
1.3423020E+00  1.4567E+01
1.3490135E+00  1.4476E+01
1.3557586E+00  1.4386E+01
1.3625374E+00  1.4296E+01
1.3693500E+00  1.4208E+01
1.3761968E+00  1.4120E+01
1.3830778E+00  1.4032E+01
1.3899932E+00  1.3946E+01
1.3969431E+00  1.3858E+01
1.4039278E+00  1.3768E+01
1.4109475E+00  1.3679E+01
1.4180022E+00  1.3590E+01
1.4250922E+00  1.3502E+01
1.4322177E+00  1.3415E+01
1.4393788E+00  1.3328E+01
1.4465757E+00  1.3243E+01
1.4538086E+00  1.3158E+01
1.4610776E+00  1.3074E+01
1.4683830E+00  1.2990E+01
1.4757249E+00  1.2908E+01
1.4831035E+00  1.2826E+01
1.4905190E+00  1.2744E+01
1.4979716E+00  1.2664E+01
1.5054615E+00  1.2584E+01
1.5129888E+00  1.2505E+01
1.5205537E+00  1.2426E+01
1.5281565E+00  1.2348E+01
1.5357973E+00  1.2271E+01
1.5434763E+00  1.2194E+01
1.5511937E+00  1.2119E+01
1.5589496E+00  1.2043E+01
1.5667444E+00  1.1969E+01
1.5745781E+00  1.1895E+01
1.5824510E+00  1.1821E+01
1.5903633E+00  1.1749E+01
1.5983151E+00  1.1677E+01
1.6063066E+00  1.1605E+01
1.6143382E+00  1.1534E+01
1.6224099E+00  1.1464E+01
1.6305219E+00  1.1394E+01
1.6386745E+00  1.1325E+01
1.6468679E+00  1.1256E+01
1.6551022E+00  1.1188E+01
1.6633777E+00  1.1121E+01
