    E              f2 
   keV           e atom-1
1.069000E-02  2.0464E+00
1.142761E-02  2.1522E+00
1.221612E-02  2.2639E+00
1.305903E-02  2.3810E+00
1.396010E-02  2.5029E+00
1.492335E-02  2.6290E+00
1.595306E-02  2.7586E+00
1.705382E-02  2.8907E+00
1.823053E-02  3.0245E+00
1.948844E-02  3.1589E+00
2.083314E-02  3.2927E+00
2.227063E-02  3.4249E+00
2.380730E-02  3.5542E+00
2.545001E-02  3.6795E+00
2.720606E-02  3.7997E+00
2.908327E-02  3.9138E+00
3.109002E-02  4.0208E+00
3.323523E-02  4.1198E+00
3.552846E-02  4.2103E+00
3.797993E-02  4.2917E+00
4.060054E-02  4.3636E+00
4.165000E-02  4.3886E+00
4.228750E-02  4.4027E+00
4.245750E-02  4.4064E+00
4.271250E-02  1.0114E+01
4.335000E-02  9.4318E+00
4.340198E-02  9.3778E+00
4.639671E-02  7.0694E+00
4.959809E-02  5.8022E+00
5.302035E-02  5.1298E+00
5.667876E-02  4.7082E+00
6.058959E-02  4.4061E+00
6.477028E-02  4.1693E+00
6.923942E-02  3.9739E+00
7.261800E-02  3.8536E+00
7.372950E-02  3.8182E+00
7.401695E-02  3.8093E+00
7.402590E-02  3.8090E+00
7.447050E-02  4.1232E+00
7.558200E-02  4.0982E+00
7.912411E-02  4.0301E+00
8.458368E-02  3.9538E+00
9.041995E-02  3.8999E+00
9.665893E-02  3.8667E+00
1.033284E-01  3.8526E+00
1.104581E-01  3.8554E+00
1.180797E-01  3.8716E+00
1.262272E-01  3.8970E+00
1.349368E-01  3.9264E+00
1.442475E-01  3.9543E+00
1.542005E-01  3.9752E+00
1.648404E-01  3.9841E+00
1.762144E-01  3.9761E+00
1.883732E-01  3.9445E+00
2.013709E-01  3.8880E+00
2.152655E-01  3.8071E+00
2.301188E-01  3.7041E+00
2.459970E-01  3.5818E+00
2.629708E-01  3.4440E+00
2.811158E-01  3.2943E+00
3.005128E-01  3.1366E+00
3.212482E-01  2.9740E+00
3.434143E-01  2.8096E+00
3.671099E-01  2.6461E+00
